id;prediction;name;address;latitude;longitude;position
122;1;122 - LOWER RIVER TCE / ELLIS ST;Lower River Tce / Ellis St;-27.482279;153.028723;
91;0;91 - MAIN ST / DARRAGH ST;Main St / Darragh St;-27.47059;153.036046;
